"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"06.07.2023","71,80","71,80","72,34","70,22","395,38K","0,01%"
"05.07.2023","71,79","70,15","72,17","69,90","456,81K","1,03%"
"04.07.2023","71,06","70,08","71,34","69,91","","1,82%"
"03.07.2023","69,79","70,45","71,77","69,69","303,48K","-1,20%"
"30.06.2023","70,64","69,82","71,04","69,53","299,87K","1,12%"
"29.06.2023","69,86","69,25","70,60","68,93","292,87K","0,43%"
"28.06.2023","69,56","68,01","69,73","67,05","368,30K","2,75%"
"27.06.2023","67,70","69,49","70,15","67,50","384,75K","-2,41%"
"26.06.2023","69,37","69,84","70,11","68,71","280,12K","0,30%"
"23.06.2023","69,16","69,53","69,65","67,35","322,48K","-0,50%"
"22.06.2023","69,51","72,43","72,65","68,93","421,35K","-4,16%"
"21.06.2023","72,53","70,90","72,72","70,80","264,66K","2,88%"
"20.06.2023","70,50","71,45","72,09","69,65","28,74K","-1,14%"
"19.06.2023","71,31","71,47","72,25","70,83","","-0,22%"
"18.06.2023","71,47","71,59","71,67","71,42","","-0,43%"
"16.06.2023","71,78","70,55","71,89","69,95","99,19K","1,64%"
"15.06.2023","70,62","68,70","70,96","67,97","115,61K","3,44%"
"14.06.2023","68,27","69,35","70,49","68,07","304,45K","-1,66%"
"13.06.2023","69,42","67,31","69,83","67,15","366,35K","3,43%"
"12.06.2023","67,12","70,27","70,33","66,80","404,77K","-4,35%"
"09.06.2023","70,17","70,94","71,77","70,10","300,72K","-1,57%"
"08.06.2023","71,29","72,47","73,28","69,03","485,40K","-1,71%"
"07.06.2023","72,53","71,56","73,19","71,01","299,13K","1,10%"
"06.06.2023","71,74","71,99","72,33","70,13","314,96K","-0,57%"
"05.06.2023","72,15","75,03","75,06","71,73","383,94K","0,57%"
"02.06.2023","71,74","70,21","72,17","70,00","322,60K","2,34%"
"01.06.2023","70,10","67,60","71,07","67,51","395,39K","2,95%"
"31.05.2023","68,09","69,62","69,69","67,03","444,79K","-1,97%"
"30.05.2023","69,46","73,23","73,55","69,02","440,86K","-4,68%"
"29.05.2023","72,87","73,22","73,55","72,05","","-0,48%"
"28.05.2023","73,22","73,11","73,45","73,06","","0,76%"
"26.05.2023","72,67","71,89","73,05","71,49","261,50K","1,17%"
"25.05.2023","71,83","74,21","74,37","70,98","422,64K","-3,38%"
"24.05.2023","74,34","73,77","74,73","73,13","386,61K","1,96%"
"23.05.2023","72,91","72,10","73,79","71,71","317,59K","1,28%"
"22.05.2023","71,99","71,70","72,36","70,55","18,68K","0,61%"
"19.05.2023","71,55","71,94","73,40","71,03","69,95K","-0,43%"
"18.05.2023","71,86","72,75","72,87","71,42","80,86K","-1,33%"
"17.05.2023","72,83","70,60","73,26","70,04","273,71K","2,78%"
"16.05.2023","70,86","71,32","71,79","70,45","232,33K","-0,35%"
"15.05.2023","71,11","70,04","71,69","69,41","259,01K","1,53%"
"12.05.2023","70,04","71,42","71,78","69,93","275,44K","-1,17%"
"11.05.2023","70,87","72,77","73,50","70,63","365,89K","-2,33%"
"10.05.2023","72,56","73,58","73,89","71,80","351,51K","-1,56%"
"09.05.2023","73,71","72,84","73,78","71,34","317,49K","0,75%"
"08.05.2023","73,16","71,35","73,69","71,04","290,08K","2,55%"
"05.05.2023","71,34","68,70","71,81","68,48","330,59K","4,05%"
"04.05.2023","68,56","68,16","69,84","63,64","412,50K","-0,06%"
"03.05.2023","68,60","71,56","71,79","67,95","490,52K","-4,27%"
"02.05.2023","71,66","75,76","76,11","71,42","417,82K","-5,29%"
"01.05.2023","75,66","76,66","76,69","74,53","215,02K","-1,46%"
"28.04.2023","76,78","74,91","76,92","73,93","328,40K","2,70%"
"27.04.2023","74,76","74,38","75,28","74,03","345,88K","0,62%"
"26.04.2023","74,30","77,08","77,93","74,05","497,78K","-3,59%"
"25.04.2023","77,07","78,74","79,07","76,50","361,65K","-2,15%"
"24.04.2023","78,76","77,97","79,18","76,72","306,72K","1,14%"
"21.04.2023","77,87","77,13","78,39","76,72","291,11K","0,75%"
"20.04.2023","77,29","78,87","78,89","76,97","24,99K","-2,36%"
"19.04.2023","79,16","80,92","81,18","78,46","78,31K","-2,10%"
"18.04.2023","80,86","81,00","81,48","79,87","96,29K","0,04%"
"17.04.2023","80,83","82,48","82,71","80,47","217,05K","-2,05%"
"14.04.2023","82,52","82,40","83,12","81,76","275,13K","0,44%"
"13.04.2023","82,16","83,22","83,44","82,11","261,23K","-1,32%"
"12.04.2023","83,26","81,44","83,53","81,28","356,13K","2,12%"
"11.04.2023","81,53","79,88","81,59","79,37","309,68K","2,24%"
"10.04.2023","79,74","80,50","81,22","79,61","264,91K","-1,19%"
"06.04.2023","80,70","80,37","80,96","79,65","259,52K","0,11%"
"05.04.2023","80,61","81,01","81,24","79,72","254,97K","-0,12%"
"04.04.2023","80,71","80,44","81,81","79,61","343,57K","0,36%"
"03.04.2023","80,42","80,10","81,69","79,00","547,13K","6,28%"
"31.03.2023","75,67","74,37","75,72","73,77","304,36K","1,75%"
"30.03.2023","74,37","72,98","74,63","72,61","269,74K","1,92%"
"29.03.2023","72,97","73,61","74,37","72,76","312,67K","-0,31%"
"28.03.2023","73,20","72,86","73,93","72,19","328,47K","0,54%"
"27.03.2023","72,81","69,42","73,10","69,13","353,60K","5,13%"
"24.03.2023","69,26","69,51","70,38","66,82","380,85K","-1,00%"
"23.03.2023","69,96","69,95","71,67","69,14","335,24K","-1,33%"
"22.03.2023","70,90","69,48","71,31","68,89","337,64K","2,26%"
"21.03.2023","69,33","67,62","69,60","66,77","26,35K","2,50%"
"20.03.2023","67,64","66,62","67,70","64,12","76,87K","1,35%"
"17.03.2023","66,74","68,26","69,64","65,17","152,26K","-2,36%"
"16.03.2023","68,35","68,22","69,38","65,71","327,12K","1,09%"
"15.03.2023","67,61","71,56","72,56","65,65","555,16K","-5,22%"
"14.03.2023","71,33","74,70","74,90","70,78","432,86K","-4,64%"
